3-M syndrome	:1
3-Methylcrotonyl-CoA carboxylase deficiency	:1
3-Methylglutaconic aciduria	:1
3-hydroxy-3-methylglutaryl-CoA lyase deficiency	:1
3-hydroxyacyl-coenzyme A dehydrogenase deficiency	:1
3 hydroxyisobutyric aciduria	:1
5.5 Metre (keelboat)	:1
7q11.23 duplication syndrome	:1
AIDS	:1
ALS	:1
Acute lung injury	:1
Acute myeloid leukaemia	:1
Acute respiratory failure	:1
Adrenal cancer	:1
Subarachnoid haemorrhage	:1
Suicide bomber	:1
Suicide bombing	:1
Amniotic band constriction	:1
Amoebic dysentery	:1
Bocaparvovirus	:1
Bochdalek hernia	:1
Boden's Mate	:1
Bodo saltans virus	:1
Bodroux–Chichibabin aldehyde synthesis	:1
Body-focused repetitive behavior	:1
Body fat redistribution syndrome	:1
Body flex	:1
Body hopping	:1
Body identification	:1
Body image	:1
Body image disturbance	:1
Body odor	:1
Body shape	:1
Body size and species richness	:1
Bodybuilding supplement	:1
Boerenbont	:1
Bogart–Bacall syndrome	:1
Bogoliubov causality condition	:1
Bohr effect	:1
Bohring–Opitz syndrome	:1
Boil	:1
Boiling liquid expanding vapor explosion	:1
Bokeloh bat lyssavirus	:1
Bolivian hemorrhagic fever	:1
Bombali ebolavirus	:1
Bone conduction auditory brainstem response	:1
Bone cyst	:1
Bone density	:1
Bone disease	:1
Bone erosion	:1
Bone malrotation	:1
Bone marrow suppression	:1
Bone metastasis	:1
Bone pain	:1
Bone resorption	:1
Bone sarcoma	:1
Bone spavin	:1
Bone tumor	:1
Bonnet–Dechaume–Blanc syndrome	:1
Boojum (superfluidity)	:1
Book store shoplifting	:1
Boolarra virus	:1
Boolean-valued function	:1
Boolean function	:1
Boolean satisfiability problem	:1
Boomerang dysplasia	:1
Boord olefin synthesis	:1
Border disease	:1
Borderline intellectual functioning	:1
Borderline lepromatous leprosy	:1
Borderline leprosy	:1
Borderline tuberculoid leprosy	:1
Bordetella bronchiseptica	:1
Borel isomorphism	:1
Borna disease	:1
Borna disease virus	:1
Bornaviridae	:1
Bornholm disease	:1
Boron deficiency (medicine)	:1
Boron deficiency (plant disorder)	:1
Borrmann effect	:1
Borsari's sign	:1
Borylation	:1
Bosch-Boonstra-Schaaf optic atrophy syndrome	:1
Bosch reaction	:1
Bossavirus	:1
Boston's sign	:1
Boston exanthem disease	:1
Bosworth fracture	:1
Botourmiaviridae	:1
Botrexvirus	:1
Botryoid odontogenic cyst	:1
Botryomycosis	:1
Botryosphaeria corticola	:1
Bottle-shock	:1
Bottleneck (engineering)	:1
Bottleneck traveling salesman problem	:1
Bouchard's nodes	:1
Bouffée délirante	:0
Bounded mean oscillation	:1
Bourbon virus	:1
