3-M syndrome	:1
3-Methylcrotonyl-CoA carboxylase deficiency	:1
3-Methylglutaconic aciduria	:1
3-hydroxy-3-methylglutaryl-CoA lyase deficiency	:0
3-hydroxyacyl-coenzyme A dehydrogenase deficiency	:1
3 hydroxyisobutyric aciduria	:1
5.5 Metre (keelboat)	:0
7q11.23 duplication syndrome	:1
AIDS	:0
ALS	:0
Acute lung injury	:1
Acute myeloid leukaemia	:0
Acute respiratory failure	:1
Adrenal cancer	:0
Subarachnoid haemorrhage	:0
Suicide bomber	:0
Suicide bombing	:0
Amniotic band constriction	:0
Amoebic dysentery	:1
Bocaparvovirus	:0
Bochdalek hernia	:1
Boden's Mate	:0
Bodo saltans virus	:0
Bodroux–Chichibabin aldehyde synthesis	:0
Body-focused repetitive behavior	:1
Body fat redistribution syndrome	:1
Body flex	:0
Body hopping	:0
Body identification	:0
Body image	:0
Body image disturbance	:1
Body odor	:0
Body shape	:0
Body size and species richness	:0
Bodybuilding supplement	:0
Boerenbont	:0
Bogart–Bacall syndrome	:0
Bogoliubov causality condition	:0
Bohr effect	:0
Bohring–Opitz syndrome	:0
Boil	:1
Boiling liquid expanding vapor explosion	:0
Bokeloh bat lyssavirus	:0
Bolivian hemorrhagic fever	:1
Bombali ebolavirus	:0
Bone conduction auditory brainstem response	:0
Bone cyst	:1
Bone density	:0
Bone disease	:1
Bone erosion	:1
Bone malrotation	:1
Bone marrow suppression	:1
Bone metastasis	:1
Bone pain	:0
Bone resorption	:0
Bone sarcoma	:1
Bone spavin	:0
Bone tumor	:1
Bonnet–Dechaume–Blanc syndrome	:0
Boojum (superfluidity)	:0
Book store shoplifting	:0
Boolarra virus	:0
Boolean-valued function	:0
Boolean function	:0
Boolean satisfiability problem	:0
Boomerang dysplasia	:1
Boord olefin synthesis	:0
Border disease	:0
Borderline intellectual functioning	:1
Borderline lepromatous leprosy	:1
Borderline leprosy	:1
Borderline tuberculoid leprosy	:1
Bordetella bronchiseptica	:0
Borel isomorphism	:0
Borna disease	:1
Borna disease virus	:0
Bornaviridae	:0
Bornholm disease	:1
Boron deficiency (medicine)	:1
Boron deficiency (plant disorder)	:0
Borrmann effect	:0
Borsari's sign	:0
Borylation	:0
Bosch-Boonstra-Schaaf optic atrophy syndrome	:1
Bosch reaction	:0
Bossavirus	:0
Boston's sign	:0
Boston exanthem disease	:1
Bosworth fracture	:1
Botourmiaviridae	:0
Botrexvirus	:0
Botryoid odontogenic cyst	:1
Botryomycosis	:1
Botryosphaeria corticola	:0
Bottle-shock	:0
Bottleneck (engineering)	:0
Bottleneck traveling salesman problem	:0
Bouchard's nodes	:0
Bouffée délirante	:0
Bounded mean oscillation	:0
Bourbon virus	:0
