Alien hand syndrome	:1
scabies	:0
hypomania	:0
pulmonary emphysema	:0
hordeolum	:0
Periampullary cancer	:1
abrasion	:0
psoriasis	:0
Cushing's syndrome	:0
Lyme disease	:1
sepsis	:0
Turner syndrome	:1
bleeding gums	:0
tobacco use disorder	:0
conjoined twins	:0
lactose intolerance	:0
urinary tract infection	:0
dysarthria	:0
Upper airway resistance syndrome	:1
cystitis	:0
abducens nerve palsy	:0
ablepharon	:0
Überköten	:0
achylia	:0
adermatoglyphia	:0
aspergilloma	:0
floater	:0
hysteria	:0
foodborne illness	:0
Ancylostoma duodenale ancylostomiasis	:0
traveler's diarrhea	:0
delirium	:0
metastasis	:0
aneurysm	:0
binge-eating disorder	:0
Zuckerschleim	:0
activated protein C resistance	:0
AAA disease	:0
survivor guilt	:0
aboulia	:0
Purtscher's retinopathy	:0
fistula	:0
hemophilia	:0
liver cirrhosis	:0
Bálint's syndrome	:0
gastritis	:0
heart disease	:0
dermatitis	:0
congenital cystic adenomatoid malformation	:0
acute coronary syndrome	:0
abasia	:0
inferiority complex	:0
uveitis	:0
XYY syndrome	:1
encephalitis	:0
gout	:0
migraine	:0
delirium tremens	:0
hypertrophy	:0
precocious puberty	:0
urinary incontinence	:0
jet lag	:0
cyst	:0
dwarfism	:0
varicose veins	:0
mesenteric ischemia	:0
stupor	:0
AIDS phobia	:0
nocturnal enuresis	:0
carcinoid syndrome	:0
Adipsia	:1
brain abscess	:0
toothache	:0
pneumoperitoneum	:0
cluster headache	:0
heart arrhythmia	:0
phenylketonuria	:0
cervical syndrome	:0
cervical intraepithelial neoplasia	:0
chronic obstructive pulmonary disease	:0
amblyopia	:0
anogenital venereal wart	:0
Zollinger–Ellison syndrome	:0
epidemic pleurodynia	:0
chikungunya	:0
bladder exstrophy	:0
mitral valve insufficiency	:0
kuru	:0
Ebstein anomaly	:0
Schindler disease	:1
procrastination	:0
achlorhydria	:0
adenocarcinoma	:0
dhat syndrome	:0
bronchitis	:0
astigmatism	:0
atrophy	:0
Accelerated phase chronic myelogenous leukemia	:0
kerion	:0
fimosis	:0
crayfish plague	:0
Q1430470	:0
Canine degenerative myelopathy	:1
Mammary tumor	:1
frontal fibrosing alopecia	:0
Von-Willebrand disease in animals	:0
Q3357464	:0
Surra	:1
biliary fever	:0
Floppy trunk syndrome	:0
Q8238535	:0
sweating sickness	:0
Tyzzer's disease	:0
Withering abalone syndrome	:0
Q10990243	:0
Q11036406	:0
Q11444844	:0
Q11775239	:0
imposex	:0
Cow-hocked	:0
limber tail syndrome	:0
White heifer disease	:0
Listeriosis in animals	:0
linear IgA bullous dermatosis	:0
Piscirickettsiaceae Infections	:0
Sealpox	:1
Wobbly hedgehog syndrome	:0
Q20058009	:0
Polioencephalomalacia	:0
bumblefoot	:0
Acute ruminal lactic acidosis	:0
photoinhibition	:0
Akabane disease	:0
balloon syndrome	:0
animal trypanosomiasis	:0
devil facial tumour disease	:0
dislocation of hip in animals	:0
Spinal osteoarthropathy	:0
Egg binding	:0
Animal esotropia	:0
Bitter pit	:0
kangaroo lumpy jaw disease	:0
osseous choristoma of the ciliary body	:0
onion poisoning	:0
phocine distemper	:0
blain	:0
Blue Eye Disease	:0
gaffkaemia	:0
Inclusion Body Disease	:0
food allergy in animals	:0
cerebellar hypoplasia in animals	:0
piscinoodiniosis	:0
Adverse vaccine reactions in pets	:0
myopia in animals	:0
rabies in animals	:0
mange	:0
hexamitiasis in tortoises	:0
sole ulcer	:0
avian tuberculosis	:0
fibropapillomatosis	:0
necrotising hepatopancreatitis	:0
animal lead poisoning	:0
bald sea urchin disease	:0
Corneal ulcers in animals	:1
fescue toxicosis	:0
ornithosis	:0
Border disease (sheep)	:0
porcelain disease	:0
bovine trichomoniasis	:0
Necrobacteriosis	:0
Ked itch	:1
nutritional muscular dystrophy	:0
Exotic ungulate encephalopathy	:1
locoism	:0
enterotoxemia	:0
avian influenza in animals	:0
setariosis	:0
ferret health	:0
pansteatitis	:0
Post-legged	:0
Ulcerative dermatitis	:1
chlamydophilosis	:0
hove disease	:0
Chuzan disease	:0
malocclusion in rabbits	:0
carpal varus	:0
abomasal impaction	:0
white-nose syndrome	:0
avian keratin disorder	:0
tree stake damage	:0
dog urine damage to plants	:0
effects of heat on plants	:0
effects of cold on plants	:0
Damage to plants by weather conditions	:0
Damage to plants by soil acidity or alkalinity	:0
Pollutant damage to plants	:0
effects of salinity on plants	:0
growth cracking	:0
Plant damage by pesticides and fertilizers	:0
chronic thyroiditis	:0
selective mutism	:0
adult polyglucosan body disease	:0
poisoning by drugs	:0
acute abdomen	:0
milk-alkali syndrome	:0
kyphosis	:0
cretinism	:0
experimental autoimmune encephalomyelitis	:0
tetany	:0
myelitis	:0
anoxia	:0
omphalitis of newborn	:0
photodermatitis	:0
avolition	:0
Apert syndrome	:1
taijin kyofusho	:0
mallet finger	:0
dopamine-responsive dystonia	:0
keratoconus	:0
growth hormone deficiency	:0
aganglionosis	:0
hypervitaminosis	:0
alveolitis	:0
complete androgen insensitivity syndrome	:0
gigantism	:0
Chemotherapy-induced acral erythema	:1
preterm birth	:0
radiation burn	:0
fibromuscular dysplasia	:0
subarachnoid hemorrhage	:0
African horse sickness	:1
mercury poisoning	:0
aluminosis	:0
decompression sickness	:0
anasarka	:0
paramyotonia congenita	:0
sucrose intolerance	:0
hamartoma	:0
Eisenmenger's syndrome	:0
torticollis	:0
arachnoid cyst	:0
acute midbrain syndrome	:0
Alström syndrome	:0
neurasthenia	:0
Pena-Shokeir syndrome	:0
alcoholic liver disease	:0
anticholinergic toxidrome	:0
myxoma	:0
stimulant psychosis	:0
pulmonary sequestration	:0
Muselmann	:0
psychogenic pain	:0
Hughes-Stovin syndrome	:0
Eagle syndrome	:1
XX male syndrome	:1
health effects of tobacco	:0
calculus	:0
Todd's paresis	:0
hibernoma	:0
uncombable hair syndrome	:0
Lujan–Fryns syndrome	:0
flat feet problems	:0
nephrogenic systemic fibrosis	:0
dysosmia	:0
aphakia	:0
Argyll Robertson pupil	:1
organic brain syndrome	:0
sleepwalking	:0
Agalactia	:0
agrypnia excitata	:0
acroparesthesia	:0
amentia	:0
gestosis	:0
Dactylitis	:1
argyria	:0
panic attack	:0
angiomatosis	:0
acanthosis nigricans	:0
Edwards syndrome	:1
hirsuties coronae glandis	:0
anastomotic leak	:0
hh blood group	:0
anorchia	:0
self-defeating personality disorder	:0
May–Thurner syndrome	:0
alpha-1-antitrypsin deficiency	:0
Lucey–Driscoll syndrome	:0
multiple myeloma	:0
ring chromosome	:0
intestinal parasite infection	:0
psoriatic arthritis	:0
paraphasia	:0
hip dysplasia	:0
occupational disease	:0
eosinophilic granuloma	:0
Neu-Laxova syndrome	:0
spinal disc herniation	:0
torsion dystonia	:0
endothelial dysfunction	:0
amino acid transport disorder	:0
phakomatosis	:0
atypical choroid plexus papilloma	:0
catarrh	:0
stress-related disorders	:0
dysmenorrhea	:0
Benedikt syndrome	:1
Bonnet–Dechaume–Blanc syndrome	:0
Bowenoid papulosis	:1
Charles Bonnet syndrome	:0
Acanthamoeba keratitis	:1
osteophyte	:0
primary polydipsia	:0
islet-cell adenoma	:0
sweating sickness	:0
Blue rubber bleb nevus syndrome	:1
Peyronie's disease	:0
Phlegmasia cerulea dolens	:1
soft-tissue sarcoma	:0
frontal lobe disorder	:0
Azoor	:0
azotemia	:0
5-alpha-reductase deficiency	:0
pemphigoid	:0
giant condyloma acuminatum	:0
rhabdomyolysis	:0
Usher syndrome	:1
Mismatch repair cancer syndrome	:1
Jarisch-Herxheimer reaction	:0
respiratory tract infection	:0
glucagonoma	:0
sirenomelia	:0
bovine virus diarrhea	:0
bladder trabeculation	:0
basal-cell carcinoma	:0
gait abnormality	:0
photokeratitis	:0
leukoplakia	:0
premature heart beat	:0
Foreign accent syndrome	:1
Bisphosphonate-associated osteonecrosis of the jaw	:0
paraneoplastic syndrome	:0
Nasal septal hematoma	:1
Erythema induratum	:1
aspermia	:0
Babinski–Nageotte syndrome	:0
Behr syndrome	:1
Biloma	:1
inflammatory bowel diseases	:0
insulitis	:0
epidermolysis bullosa	:0
articular cartilage disease	:0
erythrasma	:0
proctitis	:0
tennis elbow	:0
intertrigo	:0
sacroiliac joint dysfunction	:0
obsolete adenovirus infectious disease	:0
ventricular fibrillation	:0
acute otitis media	:0
multidrug-resistant tuberculosis	:0
onychomycosis	:0
mitochondrial disease	:0
hypocalcaemia	:0
osteomyelitis	:0
paroxysmal cold hemoglobinuria	:0
Condyloma	:0
atelectasis	:0
hyponatremia	:0
opportunistic infection	:0
bone marrow suppression	:0
dichromatopsia	:0
citrullinemia	:0
Couvade syndrome	:1
asplenia	:0
lordosis	:0
Atony	:0
bone cyst	:0
Bethlem myopathy	:1
hyperplasia	:0
cholesterol embolism	:0
bicuspid aortic valve	:0
condylomata lata	:0
coccidioidomycosis	:0
linitis plastica	:0
diabetic ketoacidosis	:0
blood coagulation disease	:0
lymphedema	:0
bronchopulmonary dysplasia	:0
Kocher–Debre–Semelaigne syndrome	:0
arteriovenous fistula	:0
Fixed drug reaction	:1
Asomatognosia	:1
irritable bowel syndrome	:0
metritis	:0
coronary artery disease	:0
Bing–Neel syndrome	:0
Legius syndrome	:1
expressive aphasia	:0
Multiple familial trichoepithelioma	:0
stasis edema	:0
Q1036625	:0
Caput medusae	:1
hypothermia	:0
Cotard delusion	:1
Watson syndrome	:1
fecal incontinence	:0
tonsillolith	:0
DOOR syndrome	:1
Dementia pugilistica	:0
distichia	:0
staphylococcal skin infection	:0
diverticulum	:0
thought disorder	:0
Crimean-Congo hemorrhagic fever	:0
Wolfram syndrome	:1
Acute myeloblastic leukemia	:0
XY gonadal dysgenesis	:1
bulbar syndrome	:0
Böök syndrome	:0
C1q nephropathy	:0
retroverted uterus	:0
Diplegia	:0
dysplasia	:0
agenesis of the corpus callosum	:0
papillomatosis	:0
Darwin's tubercle	:0
sperm granuloma	:0
Dermal cylindroma	:1
dermatochalasis	:0
colorectal polyp	:0
disease mongering	:0
hepatosplenomegaly	:0
Schimmelpenning syndrome	:1
Oroantral fistula	:1
dust mite allergy	:0
erythema marginatum	:0
C syndrome	:0
hyperlipidemia	:0
chronic myelomonocytic leukemia	:0
septicemia	:0
splenomegaly	:0
granuloma	:0
graft-versus-host disease	:0
computer vision syndrome	:0
hypermobility syndrome	:0
Vascular occlusion	:0
Arnold-Chiari malformation	:0
Facet syndrome	:1
folliculitis	:0
myelodysplastic syndrome	:0
prolactinoma	:0
albuminuria	:0
chiasmal syndrome	:0
developmental disability	:0
Amyotrophic lateral sclerosis 21	:0
Doege–Potter syndrome	:0
littoral cell angioma	:0
stannosis	:0
echopraxia	:0
Flail chest	:0
Chronic allograft nephropathy	:1
pilonidal cyst	:0
polymyositis	:0
Kikuchi disease	:1
hairy tongue	:0
caffeine dependence	:0
diffuse esophageal spasm	:0
diphtheroid infection	:0
Cohen syndrome	:1
liver failure	:0
cerebral edema	:0
sacbrood	:0
hypotrophy	:0
buried bumper syndrome	:0
hantavirus hemorrhagic fever	:0
cervicobrachial neuralgia	:0
chondromatosis	:0
Minimally conscious state	:1
diabetic nephropathy	:0
coxa vara	:0
heat illness	:0
xanthoma	:0
conduction aphasia	:0
dyschezia	:0
suicidal ideation	:0
McLeod syndrome	:1
fibrillation	:0
cancer of unknown primary origin	:0
communication disorder	:0
Clutton's joints	:0
small intestine cancer	:0
konzo	:0
fugue state	:0
Cat eye syndrome	:1
ulcer of esophagus	:0
metrorrhagia	:0
dyslalia	:0
Basuritis	:0
deep venous insufficiency	:0
coxa valga	:0
Dupuytren's contracture	:0
Naxos disease	:0
alcohol withdrawal seizure	:0
Epstein syndrome	:1
heart conduction disease	:0
Binswanger's disease	:0
fibroleiomyoma	:0
apparent life-threatening event syndrome	:0
lipid metabolism disorder	:0
Biliary sludge	:1
atrial flutter	:0
Oculo-facial-cardio-dental syndrome	:0
Postictal  twilight state	:0
pharyngeal phlegmon	:0
bone neoplasm	:0
Paraneoplastic pemphigus	:1
Erdheim-Chester disease	:0
Gradenigo's syndrome	:0
Ectopia cordis	:1
Madelung's deformity	:0
mole	:0
rhabdoid tumor predisposition syndrome	:0
Keratitis–ichthyosis–deafness syndrome	:0
enzootic bovine leukosis	:0
frostbite	:0
steatosis	:0
extrapyramidal symptoms	:0
myofibrillar myopathy 3	:0
branchiootic syndrome 1	:0
hydrops of gallbladder	:0
microhematuria	:0
osteitis pubis	:0
nephroptosis	:0
Keratoglobus	:1
Poikiloderma	:1
Aplasia cutis congenita	:1
empyema	:0
Enostosis	:1
ependymoma	:0
epispadias	:0
erythema nodosum	:0
erythroderma	:0
air embolism	:0
conjunctival concretion	:0
petechia	:0
overload disease	:0
hemoperitoneum	:0
Infant toxicosis	:0
genu varum	:0
hypovolemia	:0
ovine and caprine brucellosis	:0
hallux rigidus	:0
buckle fracture	:0
Fregoli delusion	:1
Chronic Somogyi rebound	:0
Müllerian agenesis	:0
encephalopathy due to GLUT1 deficiency	:0
parakeratosis	:0
multiple endocrine neoplasia	:0
brain herniation	:0
cerebral hemorrhage	:0
Fazio-Londe disease	:0
Fechtner syndrome	:1
acute dystonia	:0
osteoid osteoma	:0
pulmonary cyst	:0
oneiroid syndrome	:0
Hemoglobin Barts	:0
Kostmann syndrome	:0
Ellis–Van Creveld syndrome	:0
Elsberg syndrome	:0
tension headache	:0
diseased cavity	:0
erethism	:0
Foix–Chavany–Marie syndrome	:0
focal nodular hyperplasia	:0
micropenis	:0
parkinsonian syndrome	:0
Developmental verbal dyspraxia	:1
laryngospasm	:0
gluten-related disorder	:0
oculocutaneous albinism type 1	:0
fever of unknown origin	:0
puerperal infection	:0
nymphomania	:0
pigeon toe	:0
monocytic leukemia	:0
sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome	:0
enterohaemorrhagic Escherichia coli infection	:0
Acquired perforating dermatosis	:1
fibromatosis	:0
spinal cord injury	:0
Aortoiliac occlusive disease	:1
catatonic schizophrenia	:0
schizencephaly	:0
hypertriglyceridemia	:0
congenital aplasia of the vas deferens	:0
Post traumatic osteoarthritis	:0
arteriosclerotic heart disease	:0
vitreous hemorrhage	:0
Q1607642	:0
vesicle	:0
venous ulcer	:0
retroperitoneal fibrosis	:0
factitious hypoglycemia	:0
neurocytoma	:0
intrauterine growth restriction	:0
Salter–Harris fracture	:0
King–Kopetzky syndrome	:0
pathologic fracture	:0
microtia	:0
germ cell neoplasia in situ	:0
lipedema	:0
Reflux nephropathy	:1
Neonatal hemochromatosis	:1
Gardner's syndrome	:0
Ectopia lentis	:1
hepatization of lungs	:0
Suspension trauma	:1
cancerophobia	:0
Palilalia	:1
trigonocephaly	:0
knee osteoarthritis	:0
Meigs syndrome	:0
lipoblastoma	:0
insomnia	:0
solitary pulmonary nodule	:0
polysyndactyly	:0
Bardet-Biedl syndrome	:0
Cutaneous larva migrans	:1
Onychotillomania	:1
Labial fusion	:1
osteonecrosis of the femoral head	:0
ideomotor apraxia	:0
wedge shaped vertebra	:0
muscular dystrophy-dystroglycanopathy type B1	:0
levo-transposition of the great arteries	:0
idiopathic interstitial pneumonia	:0
impaired coordination	:0
Post-transplant lymphoproliferative disorder	:1
herpes B	:0
brainstem disease	:0
hirsutism	:0
sialolithiasis	:0
Marie Unna hereditary hypotrichosis	:1
normal pressure hydrocephalus	:0
KISS syndrome	:0
clavicle fracture	:0
polymyalgia rheumatica	:0
transposition of great vessels	:0
septic shock	:0
piblokto	:0
pseudogynecomastia	:0
milker's fever	:0
lymphocele	:0
Pierre Robin syndrome	:0
pseudolymphoma	:0
hereditary folate malabsorption	:0
hyper IgM syndrome	:0
Hoigne syndrome	:0
fructose malabsorption	:0
